id_cuenta,id_distrito_creacion,pago_cuota,fecha_creacion_cuente,client_id
A00000576,55,Monthly Issuance,2013-01-01,692
A00000576,55,Monthly Issuance,2013-01-01,693
A00003818,74,Monthly Issuance,2013-01-01,4601
A00003818,74,Monthly Issuance,2013-01-01,4602
A00000704,55,Monthly Issuance,2013-01-01,844
A00000704,55,Monthly Issuance,2013-01-01,845
A00002378,16,Monthly Issuance,2013-01-01,2873
A00002632,24,Monthly Issuance,2013-01-02,3177
A00001972,77,Monthly Issuance,2013-01-02,2397
A00001539,1,Issuance After Transaction,2013-01-03,1866
A00000793,47,Monthly Issuance,2013-01-03,950
A00000793,47,Monthly Issuance,2013-01-03,951
A00002484,74,Monthly Issuance,2013-01-03,2999
A00001695,76,Monthly Issuance,2013-01-03,2058
A00001726,48,Monthly Issuance,2013-01-03,2093
A00001726,48,Monthly Issuance,2013-01-03,2094
A00002881,70,Monthly Issuance,2013-01-04,3483
A00002357,19,Monthly Issuance,2013-01-04,2849
A00002177,62,Monthly Issuance,2013-01-04,2636
A00000485,6,Issuance After Transaction,2013-01-04,583
A00000652,21,Monthly Issuance,2013-01-05,782
A00009635,70,Monthly Issuance,2013-01-05,11860
A00001844,44,Monthly Issuance,2013-01-06,2236
A00001926,37,Monthly Issuance,2013-01-06,2338
A00001926,37,Monthly Issuance,2013-01-06,2339
A00002393,10,Monthly Issuance,2013-01-07,2889
A00003510,41,Monthly Issuance,2013-01-07,4238
A00001276,36,Monthly Issuance,2013-01-07,1540
A00001276,36,Monthly Issuance,2013-01-07,1541
A00001637,1,Monthly Issuance,2013-01-08,1984
A00003871,26,Monthly Issuance,2013-01-08,4665
A00003871,26,Monthly Issuance,2013-01-08,4666
A00000192,55,Monthly Issuance,2013-01-08,232
A00000764,1,Monthly Issuance,2013-01-08,914
A00002087,7,Weekly Issuance,2013-01-08,2530
A00002122,68,Monthly Issuance,2013-01-08,2566
A00003592,54,Monthly Issuance,2013-01-08,4335
A00003487,41,Monthly Issuance,2013-01-08,4215
A00000435,38,Monthly Issuance,2013-01-08,523
A00001730,1,Monthly Issuance,2013-01-09,2099
A00001493,41,Monthly Issuance,2013-01-09,1810
